=== Effect Code Log Started 2026-01-26T07:58:32.772Z ===
[2026-01-26T07:58:32.774Z] [CLI] Starting CLI process
[2026-01-26T07:58:32.807Z] [CLI] Starting distilled CLI | {"config":{"_id":"Option","_tag":"Some","value":"../distilled-cloudflare/distilled.config.ts"},"model":"claude-sonnet"}
[2026-01-26T07:58:32.807Z] [CLI] Config path from args | {"configPath":"../distilled-cloudflare/distilled.config.ts"}
[2026-01-26T07:58:32.809Z] [CLI] Resolved config path | {"resolvedPath":"/Users/samgoodwin/workspaces/distilled/distilled-cloudflare/distilled.config.ts"}
[2026-01-26T07:58:32.809Z] [CLI] Loading agent config...
[2026-01-26T07:58:33.819Z] [CLI] Loaded root agent | {"id":"distilled-cloudflare"}
[2026-01-26T07:58:33.819Z] [collectAgents] Agent distilled-cloudflare has 198 flat references
[2026-01-26T07:58:33.819Z] [collectAgents] Agent network-interconnects has 32 flat references
[2026-01-26T07:58:33.819Z] [collectAgents] Agent network-interconnects/createCni has 23 flat references
[2026-01-26T07:58:33.819Z] [collectAgents] Agent network-interconnects/createCni/Designer has 9 flat references
[2026-01-26T07:58:33.819Z] [collectAgents] Agent network-interconnects/createCni/Developer has 17 flat references
[2026-01-26T07:58:33.819Z] [collectAgents] Agent network-interconnects/createCni/Reviewer has 5 flat references
[2026-01-26T07:58:33.820Z] [collectAgents] Agent network-interconnects/updateCni has 23 flat references
[2026-01-26T07:58:33.820Z] [collectAgents] Agent network-interconnects/updateCni/Designer has 10 flat references
[2026-01-26T07:58:33.820Z] [collectAgents] Agent network-interconnects/updateCni/Developer has 17 flat references
[2026-01-26T07:58:33.820Z] [collectAgents] Agent network-interconnects/updateCni/Reviewer has 5 flat references
[2026-01-26T07:58:33.820Z] [collectAgents] Agent network-interconnects/listCnis has 23 flat references
[2026-01-26T07:58:33.820Z] [collectAgents] Agent network-interconnects/listCnis/Designer has 13 flat references
[2026-01-26T07:58:33.820Z] [collectAgents] Agent network-interconnects/listCnis/Developer has 17 flat references
[2026-01-26T07:58:33.820Z] [collectAgents] Agent network-interconnects/listCnis/Reviewer has 5 flat references
[2026-01-26T07:58:33.820Z] [collectAgents] Agent network-interconnects/deleteCni has 23 flat references
[2026-01-26T07:58:33.820Z] [collectAgents] Agent network-interconnects/deleteCni/Designer has 10 flat references
[2026-01-26T07:58:33.820Z] [collectAgents] Agent network-interconnects/deleteCni/Developer has 17 flat references
[2026-01-26T07:58:33.820Z] [collectAgents] Agent network-interconnects/deleteCni/Reviewer has 5 flat references
[2026-01-26T07:58:33.820Z] [collectAgents] Agent network-interconnects/getCni has 23 flat references
[2026-01-26T07:58:33.820Z] [collectAgents] Agent network-interconnects/getCni/Designer has 10 flat references
[2026-01-26T07:58:33.820Z] [collectAgents] Agent network-interconnects/getCni/Developer has 17 flat references
[2026-01-26T07:58:33.820Z] [collectAgents] Agent network-interconnects/getCni/Reviewer has 5 flat references
[2026-01-26T07:58:33.820Z] [collectAgents] Agent network-interconnects/putSetting has 23 flat references
[2026-01-26T07:58:33.820Z] [collectAgents] Agent network-interconnects/putSetting/Designer has 9 flat references
[2026-01-26T07:58:33.820Z] [collectAgents] Agent network-interconnects/putSetting/Developer has 17 flat references
[2026-01-26T07:58:33.820Z] [collectAgents] Agent network-interconnects/putSetting/Reviewer has 5 flat references
[2026-01-26T07:58:33.820Z] [collectAgents] Agent network-interconnects/getSetting has 23 flat references
[2026-01-26T07:58:33.820Z] [collectAgents] Agent network-interconnects/getSetting/Designer has 9 flat references
[2026-01-26T07:58:33.820Z] [collectAgents] Agent network-interconnects/getSetting/Developer has 17 flat references
[2026-01-26T07:58:33.820Z] [collectAgents] Agent network-interconnects/getSetting/Reviewer has 5 flat references
[2026-01-26T07:58:33.820Z] [collectAgents] Agent network-interconnects/createInterconnect has 23 flat references
[2026-01-26T07:58:33.820Z] [collectAgents] Agent network-interconnects/createInterconnect/Designer has 8 flat references
[2026-01-26T07:58:33.820Z] [collectAgents] Agent network-interconnects/createInterconnect/Developer has 17 flat references
[2026-01-26T07:58:33.820Z] [collectAgents] Agent network-interconnects/createInterconnect/Reviewer has 5 flat references
[2026-01-26T07:58:33.820Z] [collectAgents] Agent network-interconnects/listInterconnects has 23 flat references
[2026-01-26T07:58:33.820Z] [collectAgents] Agent network-interconnects/listInterconnects/Designer has 13 flat references
[2026-01-26T07:58:33.820Z] [collectAgents] Agent network-interconnects/listInterconnects/Developer has 17 flat references
[2026-01-26T07:58:33.820Z] [collectAgents] Agent network-interconnects/listInterconnects/Reviewer has 5 flat references
[2026-01-26T07:58:33.820Z] [collectAgents] Agent network-interconnects/deleteInterconnect has 23 flat references
[2026-01-26T07:58:33.820Z] [collectAgents] Agent network-interconnects/deleteInterconnect/Designer has 10 flat references
[2026-01-26T07:58:33.820Z] [collectAgents] Agent network-interconnects/deleteInterconnect/Developer has 17 flat references
[2026-01-26T07:58:33.820Z] [collectAgents] Agent network-interconnects/deleteInterconnect/Reviewer has 5 flat references
[2026-01-26T07:58:33.820Z] [collectAgents] Agent network-interconnects/getInterconnect has 23 flat references
[2026-01-26T07:58:33.820Z] [collectAgents] Agent network-interconnects/getInterconnect/Designer has 10 flat references
[2026-01-26T07:58:33.821Z] [collectAgents] Agent network-interconnects/getInterconnect/Developer has 17 flat references
[2026-01-26T07:58:33.821Z] [collectAgents] Agent network-interconnects/getInterconnect/Reviewer has 5 flat references
[2026-01-26T07:58:33.821Z] [collectAgents] Agent network-interconnects/loaInterconnect has 23 flat references
[2026-01-26T07:58:33.821Z] [collectAgents] Agent network-interconnects/loaInterconnect/Designer has 10 flat references
[2026-01-26T07:58:33.821Z] [collectAgents] Agent network-interconnects/loaInterconnect/Developer has 17 flat references
[2026-01-26T07:58:33.821Z] [collectAgents] Agent network-interconnects/loaInterconnect/Reviewer has 5 flat references
[2026-01-26T07:58:33.821Z] [collectAgents] Agent network-interconnects/statusInterconnect has 23 flat references
